Action,Bytes,Application,Bytes_Received,Bytes_Sent,Category,Destination_IP,Description,Destination_Port,Destination_User,Destination_Zone,Direction,Elapsed_Time,Event_ID,NAT_Destination_IP,NAT_Destination_Port,NAT_Source_IP,NAT_Source_Port,Packets,Protocol,Serial_Number,Session_ID,Source_IP,Source_Port,Source_User,Source_Zone,System
allow,14982,rtmpt,14982,14982,unknown,172.17.1.250,,8080,,FWeth1-2_Zone,,0,,0.0.0.0,0,0.0.0.0,0,23,tcp,0003C102241,95062,172.24.16.203,1597,,CoreEth1-2_Zone,
allow,5321,rtmpt,5321,5321,unknown,172.17.1.250,,8080,,FWeth1-2_Zone,,1,,0.0.0.0,0,0.0.0.0,0,15,tcp,0003C102241,105539,172.24.16.203,1566,,CoreEth1-2_Zone,
allow,2483,http-proxy,2483,2483,shopping,172.17.1.250,,8080,,FWeth1-2_Zone,,0,,0.0.0.0,0,0.0.0.0,0,10,tcp,0003C102241,108478,172.24.16.203,1604,,CoreEth1-2_Zone,
allow,2664,http-proxy,2664,2664,shopping,172.21.4.140,,8080,,VPlant-ITConn,,0,,0.0.0.0,0,0.0.0.0,0,12,tcp,0003C102241,97632,172.21.32.148,2041,,VPlant-Building,
allow,2831,google-analytics,2831,2831,computer-and-internet-info,172.17.1.250,,8080,,FWeth1-2_Zone,,0,,0.0.0.0,0,0.0.0.0,0,11,tcp,0003C102241,86051,172.24.16.203,1605,,CoreEth1-2_Zone,
allow,3138,google-analytics,3138,3138,computer-and-internet-info,172.21.4.140,,8080,,VAdmin-ITConn,,0,,0.0.0.0,0,0.0.0.0,0,15,tcp,0003C102241,77711,172.21.22.108,4760,,VAdmin-Building,
allow,15375,rtmpt,15375,15375,unknown,172.21.4.140,,8080,,VAdmin-ITConn,,0,,0.0.0.0,0,0.0.0.0,0,28,tcp,0003C102241,106007,172.21.23.238,2790,,VAdmin-Building,
alert,,web-browsing,,,financial-services,172.21.4.140,,8080,,VAdmin-ITConn,client-to-server,,,0.0.0.0,0,0.0.0.0,0,,tcp,0003C102241,112613,172.21.23.119,3746,,VAdmin-Building,
alert,,web-browsing,,,financial-services,172.17.1.250,,8080,,FWeth1-2_Zone,client-to-server,,,0.0.0.0,0,0.0.0.0,0,,tcp,0003C102241,88914,172.24.16.203,2109,,CoreEth1-2_Zone,
alert,,web-browsing,,,business-and-economy,172.21.4.51,,80,,VAdmin-ITConn,client-to-server,,,0.0.0.0,0,0.0.0.0,0,,tcp,0003C102241,44564,172.21.22.166,1879,,VAdmin-Building,
alert,,web-browsing,,,search-engines,172.17.1.250,,8080,,FWeth1-2_Zone,client-to-server,,,0.0.0.0,0,0.0.0.0,0,,tcp,0003C102241,106750,172.24.16.203,2110,,CoreEth1-2_Zone,
alert,,web-browsing,,,search-engines,172.17.1.250,,8080,,FWeth1-2_Zone,client-to-server,,,0.0.0.0,0,0.0.0.0,0,,tcp,0003C102241,110000,172.24.16.203,2111,,CoreEth1-2_Zone,
alert,,web-browsing,,,financial-services,172.21.4.140,,8080,,VAdmin-ITConn,client-to-server,,,0.0.0.0,0,0.0.0.0,0,,tcp,0003C102241,95797,172.21.23.119,3747,,VAdmin-Building,
allow,1272,http-proxy,1272,1272,spam-urls,172.17.1.250,,8080,,FWeth1-2_Zone,,0,,0.0.0.0,0,0.0.0.0,0,9,tcp,0003C102241,110700,172.24.16.203,1585,,CoreEth1-2_Zone,
allow,5201,rtmpt,5201,5201,unknown,172.17.1.250,,8080,,FWeth1-2_Zone,,0,,0.0.0.0,0,0.0.0.0,0,13,tcp,0003C102241,124564,172.24.16.203,1576,,CoreEth1-2_Zone,
allow,1513,http-proxy,1513,1513,spam-urls,172.21.4.140,,8080,,VPlant-ITConn,,0,,0.0.0.0,0,0.0.0.0,0,12,tcp,0003C102241,92878,172.21.32.148,2024,,VPlant-Building,
allow,2165,http-proxy,2165,2165,travel,172.17.1.250,,8080,,FWeth1-2_Zone,,0,,0.0.0.0,0,0.0.0.0,0,9,tcp,0003C102241,103665,172.24.16.203,1584,,CoreEth1-2_Zone,
allow,2406,http-proxy,2406,2406,travel,172.21.4.140,,8080,,VAdmin-ITConn,,0,,0.0.0.0,0,0.0.0.0,0,12,tcp,0003C102241,111205,172.21.22.108,4741,,VAdmin-Building,
allow,246,dns,246,246,any,172.17.1.252,,53,,FWeth1-2_Zone,,0,,0.0.0.0,0,0.0.0.0,0,2,udp,0003C102241,104051,172.21.1.211,59957,horry\jfoxworth,CoreEth1-2_Zone,
allow,273,dns,273,273,any,172.21.1.211,,53,,VPlant-ITConn,,0,,0.0.0.0,0,0.0.0.0,0,2,udp,0003C102241,106258,172.21.31.129,65086,,VPlant-Building,
allow,276,dns,276,276,any,172.21.1.211,,53,,VPlant-ITConn,,0,,0.0.0.0,0,0.0.0.0,0,2,udp,0003C102241,107131,172.21.31.129,58178,,VPlant-Building,
allow,3636,http-proxy,3636,3636,shopping,172.17.1.250,,8080,,FWeth1-2_Zone,,0,,0.0.0.0,0,0.0.0.0,0,11,tcp,0003C102241,109246,172.24.16.201,1575,,CoreEth1-2_Zone,
allow,3885,http-proxy,3885,3885,shopping,172.21.4.140,,8080,,VPlant-ITConn,,0,,0.0.0.0,0,0.0.0.0,0,14,tcp,0003C102241,128226,172.21.32.148,2025,,VPlant-Building,
allow,4401,http-proxy,4401,4401,shopping,172.17.1.250,,8080,,FWeth1-2_Zone,,0,,0.0.0.0,0,0.0.0.0,0,12,tcp,0003C102241,90565,172.24.16.201,1577,,CoreEth1-2_Zone,
allow,4656,http-proxy,4656,4656,shopping,172.21.4.140,,8080,,VPlant-ITConn,,0,,0.0.0.0,0,0.0.0.0,0,15,tcp,0003C102241,88679,172.21.32.148,2027,,VPlant-Building,
allow,2024,http-proxy,2024,2024,spam-urls,172.17.1.250,,8080,,FWeth1-2_Zone,,0,,0.0.0.0,0,0.0.0.0,0,10,tcp,0003C102241,100907,172.24.16.203,1588,,CoreEth1-2_Zone,
allow,2448,http-proxy,2448,2448,business-and-economy,172.17.1.250,,8080,,FWeth1-2_Zone,,0,,0.0.0.0,0,0.0.0.0,0,9,tcp,0003C102241,83712,172.24.16.203,1587,,CoreEth1-2_Zone,
allow,2211,http-proxy,2211,2211,spam-urls,172.21.4.140,,8080,,VPlant-ITConn,,0,,0.0.0.0,0,0.0.0.0,0,12,tcp,0003C102241,106032,172.21.32.148,2026,,VPlant-Building,
allow,1714,http-proxy,1714,1714,web-advertisements,172.17.1.250,,8080,,FWeth1-2_Zone,,0,,0.0.0.0,0,0.0.0.0,0,9,tcp,0003C102241,218578,172.24.16.203,1586,,CoreEth1-2_Zone,
allow,4454,http-proxy,4454,4454,web-advertisements,172.17.1.250,,8080,,FWeth1-2_Zone,,0,,0.0.0.0,0,0.0.0.0,0,12,tcp,0003C102241,104115,172.24.16.203,1590,,CoreEth1-2_Zone,
allow,1955,http-proxy,1955,1955,web-advertisements,172.21.4.140,,8080,,VAdmin-ITConn,,0,,0.0.0.0,0,0.0.0.0,0,12,tcp,0003C102241,100178,172.21.22.108,4743,,VAdmin-Building,
allow,2747,http-proxy,2747,2747,business-and-economy,172.21.4.140,,8080,,VAdmin-ITConn,,0,,0.0.0.0,0,0.0.0.0,0,13,tcp,0003C102241,30487,172.21.22.108,4744,,VAdmin-Building,
allow,1798,http-proxy,1798,1798,spam-urls,172.17.1.250,,8080,,FWeth1-2_Zone,,0,,0.0.0.0,0,0.0.0.0,0,10,tcp,0003C102241,88483,172.24.16.203,1591,,CoreEth1-2_Zone,
allow,1985,http-proxy,1985,1985,spam-urls,172.21.4.140,,8080,,VPlant-ITConn,,0,,0.0.0.0,0,0.0.0.0,0,12,tcp,0003C102241,95225,172.21.32.148,2028,,VPlant-Building,
allow,4649,http-proxy,4649,4649,web-advertisements,172.21.4.140,,8080,,VAdmin-ITConn,,0,,0.0.0.0,0,0.0.0.0,0,14,tcp,0003C102241,80719,172.21.22.108,4746,,VAdmin-Building,
allow,5420,rtmpt,5420,5420,unknown,172.21.4.140,,8080,,VAdmin-ITConn,,1,,0.0.0.0,0,0.0.0.0,0,16,tcp,0003C102241,97475,172.21.23.238,2789,,VAdmin-Building,
allow,2347,http-proxy,2347,2347,web-advertisements,172.17.1.250,,8080,,FWeth1-2_Zone,,0,,0.0.0.0,0,0.0.0.0,0,9,tcp,0003C102241,108931,172.24.16.201,1578,,CoreEth1-2_Zone,
allow,2588,http-proxy,2588,2588,web-advertisements,172.21.4.140,,8080,,VAdmin-ITConn,,0,,0.0.0.0,0,0.0.0.0,0,12,tcp,0003C102241,109245,172.21.22.108,4747,,VAdmin-Building,
allow,104127,ssl,104127,104127,business-and-economy,172.21.4.140,,8080,,VAdmin-ITConn,,35,,0.0.0.0,0,0.0.0.0,0,162,tcp,0003C102241,89518,172.21.22.171,1274,,VAdmin-Building,
allow,1765,http-proxy,1765,1765,web-advertisements,172.17.1.250,,8080,,FWeth1-2_Zone,,0,,0.0.0.0,0,0.0.0.0,0,10,tcp,0003C102241,89157,172.24.16.203,1589,,CoreEth1-2_Zone,
allow,1952,http-proxy,1952,1952,web-advertisements,172.21.4.140,,8080,,VAdmin-ITConn,,0,,0.0.0.0,0,0.0.0.0,0,12,tcp,0003C102241,99709,172.21.22.108,4745,,VAdmin-Building,
allow,1805,http-proxy,1805,1805,spam-urls,172.17.1.250,,8080,,FWeth1-2_Zone,,0,,0.0.0.0,0,0.0.0.0,0,9,tcp,0003C102241,108251,172.24.16.201,1580,,CoreEth1-2_Zone,
allow,4811,http-proxy,4811,4811,shopping,172.17.1.250,,8080,,FWeth1-2_Zone,,0,,0.0.0.0,0,0.0.0.0,0,12,tcp,0003C102241,25931,172.24.16.203,1592,,CoreEth1-2_Zone,
allow,2040,http-proxy,2040,2040,spam-urls,172.21.4.140,,8080,,VPlant-ITConn,,0,,0.0.0.0,0,0.0.0.0,0,12,tcp,0003C102241,94425,172.21.32.148,2031,,VPlant-Building,
allow,4122,http-proxy,4122,4122,shopping,172.17.1.250,,8080,,FWeth1-2_Zone,,0,,0.0.0.0,0,0.0.0.0,0,11,tcp,0003C102241,98186,172.24.16.201,1579,,CoreEth1-2_Zone,
allow,26151,http-proxy,26151,26151,travel,172.17.1.250,,8080,,FWeth1-2_Zone,,0,,0.0.0.0,0,0.0.0.0,0,31,tcp,0003C102241,91811,172.24.16.201,1576,,CoreEth1-2_Zone,
allow,5128,http-proxy,5128,5128,shopping,172.21.4.140,,8080,,VPlant-ITConn,,0,,0.0.0.0,0,0.0.0.0,0,16,tcp,0003C102241,113070,172.21.32.148,2029,,VPlant-Building,
allow,4435,http-proxy,4435,4435,shopping,172.21.4.140,,8080,,VPlant-ITConn,,0,,0.0.0.0,0,0.0.0.0,0,15,tcp,0003C102241,92663,172.21.32.148,2030,,VPlant-Building,
allow,4468,http-proxy,4468,4468,shopping,172.17.1.250,,8080,,FWeth1-2_Zone,,0,,0.0.0.0,0,0.0.0.0,0,12,tcp,0003C102241,94790,172.24.16.203,1595,,CoreEth1-2_Zone,
allow,4599,http-proxy,4599,4599,shopping,172.21.4.140,,8080,,VPlant-ITConn,,0,,0.0.0.0,0,0.0.0.0,0,13,tcp,0003C102241,87907,172.21.32.148,2032,,VPlant-Building,
allow,26795,http-proxy,26795,26795,travel,172.21.4.140,,8080,,VAdmin-ITConn,,0,,0.0.0.0,0,0.0.0.0,0,39,tcp,0003C102241,87256,172.21.22.108,4742,,VAdmin-Building,
allow,2701,http-proxy,2701,2701,web-advertisements,172.17.1.250,,8080,,FWeth1-2_Zone,,0,,0.0.0.0,0,0.0.0.0,0,9,tcp,0003C102241,27575,172.24.16.203,1596,,CoreEth1-2_Zone,
allow,214,dns,214,214,any,172.17.1.252,,53,,FWeth1-2_Zone,,0,,0.0.0.0,0,0.0.0.0,0,2,udp,0003C102241,98329,172.21.1.211,58741,horry\jfoxworth,CoreEth1-2_Zone,
allow,180,ntp,180,180,any,172.17.1.252,,123,,FWeth1-2_Zone,,0,,0.0.0.0,0,0.0.0.0,0,2,udp,0003C102241,92657,172.21.4.233,123,,CoreEth1-2_Zone,
allow,2820,http-proxy,2820,2820,web-advertisements,172.21.4.140,,8080,,VAdmin-ITConn,,0,,0.0.0.0,0,0.0.0.0,0,10,tcp,0003C102241,107247,172.21.22.108,4750,,VAdmin-Building,
allow,1655,http-proxy,1655,1655,parked-domains,172.17.1.250,,8080,,FWeth1-2_Zone,,0,,0.0.0.0,0,0.0.0.0,0,9,tcp,0003C102241,81313,172.24.16.203,1593,,CoreEth1-2_Zone,
allow,1896,http-proxy,1896,1896,parked-domains,172.21.4.140,,8080,,VAdmin-ITConn,,0,,0.0.0.0,0,0.0.0.0,0,12,tcp,0003C102241,112140,172.21.22.108,4748,,VAdmin-Building,
allow,4097,http-proxy,4097,4097,spam-urls,172.17.1.250,,8080,,FWeth1-2_Zone,,0,,0.0.0.0,0,0.0.0.0,0,11,tcp,0003C102241,102788,172.24.16.201,1581,,CoreEth1-2_Zone,
allow,4346,http-proxy,4346,4346,spam-urls,172.21.4.140,,8080,,VPlant-ITConn,,0,,0.0.0.0,0,0.0.0.0,0,14,tcp,0003C102241,116201,172.21.32.148,2033,,VPlant-Building,
allow,3464,http-proxy,3464,3464,shopping,172.17.1.250,,8080,,FWeth1-2_Zone,,0,,0.0.0.0,0,0.0.0.0,0,11,tcp,0003C102241,107937,172.24.16.201,1584,,CoreEth1-2_Zone,
allow,3715,http-proxy,3715,3715,shopping,172.17.1.250,,8080,,FWeth1-2_Zone,,0,,0.0.0.0,0,0.0.0.0,0,11,tcp,0003C102241,97777,172.24.16.201,1583,,CoreEth1-2_Zone,
allow,3777,http-proxy,3777,3777,shopping,172.21.4.140,,8080,,VPlant-ITConn,,0,,0.0.0.0,0,0.0.0.0,0,15,tcp,0003C102241,108896,172.21.32.148,2035,,VPlant-Building,
allow,4028,http-proxy,4028,4028,shopping,172.21.4.140,,8080,,VPlant-ITConn,,0,,0.0.0.0,0,0.0.0.0,0,15,tcp,0003C102241,108709,172.21.32.148,2034,,VPlant-Building,
allow,2700,yahoo-im-base,2700,2700,internet-communications,172.17.1.250,,8080,,FWeth1-2_Zone,,0,,0.0.0.0,0,0.0.0.0,0,10,tcp,0003C102241,100561,172.24.16.203,1580,,CoreEth1-2_Zone,
allow,3753,http-proxy,3753,3753,shopping,172.17.1.250,,8080,,FWeth1-2_Zone,,0,,0.0.0.0,0,0.0.0.0,0,10,tcp,0003C102241,101062,172.24.16.201,1585,,CoreEth1-2_Zone,
allow,2875,yahoo-im-base,2875,2875,internet-communications,172.21.4.140,,8080,,VAdmin-ITConn,,0,,0.0.0.0,0,0.0.0.0,0,12,tcp,0003C102241,105188,172.21.22.205,4716,,VAdmin-Building,
allow,3992,http-proxy,3992,3992,shopping,172.21.4.140,,8080,,VPlant-ITConn,,0,,0.0.0.0,0,0.0.0.0,0,13,tcp,0003C102241,88871,172.21.32.148,2036,,VPlant-Building,
allow,2012,http-proxy,2012,2012,web-advertisements,172.17.1.250,,8080,,FWeth1-2_Zone,,0,,0.0.0.0,0,0.0.0.0,0,9,tcp,0003C102241,87437,172.24.16.203,1599,,CoreEth1-2_Zone,
allow,8919,http-proxy,8919,8919,travel,172.17.1.250,,8080,,FWeth1-2_Zone,,0,,0.0.0.0,0,0.0.0.0,0,13,tcp,0003C102241,101298,172.24.16.203,1598,,CoreEth1-2_Zone,
allow,2253,http-proxy,2253,2253,web-advertisements,172.21.4.140,,8080,,VAdmin-ITConn,,0,,0.0.0.0,0,0.0.0.0,0,12,tcp,0003C102241,108795,172.21.22.108,4752,,VAdmin-Building,
allow,3741,http-proxy,3741,3741,web-advertisements,172.17.1.250,,8080,,FWeth1-2_Zone,,0,,0.0.0.0,0,0.0.0.0,0,11,tcp,0003C102241,98362,172.24.16.201,1587,,CoreEth1-2_Zone,
allow,3990,http-proxy,3990,3990,web-advertisements,172.21.4.140,,8080,,VAdmin-ITConn,,0,,0.0.0.0,0,0.0.0.0,0,14,tcp,0003C102241,59746,172.21.22.108,4754,,VAdmin-Building,
allow,9176,http-proxy,9176,9176,travel,172.21.4.140,,8080,,VAdmin-ITConn,,0,,0.0.0.0,0,0.0.0.0,0,16,tcp,0003C102241,92623,172.21.22.108,4751,,VAdmin-Building,
alert,,web-browsing,,,financial-services,172.17.1.250,,8080,,FWeth1-2_Zone,client-to-server,,,0.0.0.0,0,0.0.0.0,0,,tcp,0003C102241,112231,172.24.16.201,2005,,CoreEth1-2_Zone,
alert,,web-browsing,,,financial-services,172.21.4.140,,8080,,VAdmin-ITConn,client-to-server,,,0.0.0.0,0,0.0.0.0,0,,tcp,0003C102241,88919,172.21.23.119,3748,,VAdmin-Building,
alert,,web-browsing,,,search-engines,172.17.1.250,,8080,,FWeth1-2_Zone,client-to-server,,,0.0.0.0,0,0.0.0.0,0,,tcp,0003C102241,109408,172.24.16.203,2112,,CoreEth1-2_Zone,
alert,,web-browsing,,,financial-services,172.17.1.250,,8080,,FWeth1-2_Zone,client-to-server,,,0.0.0.0,0,0.0.0.0,0,,tcp,0003C102241,104046,172.24.16.201,2006,,CoreEth1-2_Zone,
alert,,web-browsing,,,search-engines,172.17.1.250,,8080,,FWeth1-2_Zone,client-to-server,,,0.0.0.0,0,0.0.0.0,0,,tcp,0003C102241,115785,172.24.16.203,2113,,CoreEth1-2_Zone,
alert,,web-browsing,,,search-engines,172.17.1.250,,8080,,FWeth1-2_Zone,client-to-server,,,0.0.0.0,0,0.0.0.0,0,,tcp,0003C102241,129066,172.24.16.201,2007,,CoreEth1-2_Zone,
alert,,web-browsing,,,search-engines,172.17.1.250,,8080,,FWeth1-2_Zone,client-to-server,,,0.0.0.0,0,0.0.0.0,0,,tcp,0003C102241,101067,172.24.16.203,2114,,CoreEth1-2_Zone,
alert,,web-browsing,,,search-engines,172.17.1.250,,8080,,FWeth1-2_Zone,client-to-server,,,0.0.0.0,0,0.0.0.0,0,,tcp,0003C102241,98204,172.24.16.203,2115,,CoreEth1-2_Zone,
alert,,web-browsing,,,search-engines,172.17.1.250,,8080,,FWeth1-2_Zone,client-to-server,,,0.0.0.0,0,0.0.0.0,0,,tcp,0003C102241,94574,172.24.16.201,2008,,CoreEth1-2_Zone,
alert,,web-browsing,,,financial-services,172.21.4.140,,8080,,VAdmin-ITConn,client-to-server,,,0.0.0.0,0,0.0.0.0,0,,tcp,0003C102241,104278,172.21.23.119,3749,,VAdmin-Building,
alert,,web-browsing,,,financial-services,172.21.4.140,,8080,,VAdmin-ITConn,client-to-server,,,0.0.0.0,0,0.0.0.0,0,,tcp,0003C102241,115572,172.21.23.119,3750,,VAdmin-Building,
alert,,web-browsing,,,financial-services,172.17.1.250,,8080,,FWeth1-2_Zone,client-to-server,,,0.0.0.0,0,0.0.0.0,0,,tcp,0003C102241,110585,172.24.16.203,2116,,CoreEth1-2_Zone,
alert,,web-browsing,,,financial-services,172.17.1.250,,8080,,FWeth1-2_Zone,client-to-server,,,0.0.0.0,0,0.0.0.0,0,,tcp,0003C102241,131728,172.24.16.203,2117,,CoreEth1-2_Zone,
alert,,web-browsing,,,news-and-media,172.21.4.140,,8080,,VPlant-ITConn,client-to-server,,,0.0.0.0,0,0.0.0.0,0,,tcp,0003C102241,99964,172.21.32.135,3447,,VPlant-Building,
alert,,web-browsing,,,computer-and-internet-info,172.21.4.140,,8080,,VPlant-ITConn,client-to-server,,,0.0.0.0,0,0.0.0.0,0,,tcp,0003C102241,112491,172.21.32.135,3448,,VPlant-Building,
alert,,web-browsing,,,news-and-media,172.21.4.140,,8080,,VPlant-ITConn,client-to-server,,,0.0.0.0,0,0.0.0.0,0,,tcp,0003C102241,100908,172.21.32.135,3449,,VPlant-Building,
alert,,web-browsing,,,news-and-media,172.21.4.140,,8080,,VPlant-ITConn,client-to-server,,,0.0.0.0,0,0.0.0.0,0,,tcp,0003C102241,98170,172.21.32.135,3450,,VPlant-Building,
alert,,web-browsing,,,computer-and-internet-info,172.17.1.250,,8080,,FWeth1-2_Zone,client-to-server,,,0.0.0.0,0,0.0.0.0,0,,tcp,0003C102241,120939,172.24.16.201,2009,,CoreEth1-2_Zone,
alert,,web-browsing,,,search-engines,172.17.1.250,,8080,,FWeth1-2_Zone,client-to-server,,,0.0.0.0,0,0.0.0.0,0,,tcp,0003C102241,103608,172.24.16.203,2118,,CoreEth1-2_Zone,
alert,,web-browsing,,,news-and-media,172.17.1.250,,8080,,FWeth1-2_Zone,client-to-server,,,0.0.0.0,0,0.0.0.0,0,,tcp,0003C102241,91507,172.24.16.203,2119,,CoreEth1-2_Zone,
alert,,http-proxy,,,search-engines,172.17.1.250,,8080,,FWeth1-2_Zone,client-to-server,,,0.0.0.0,0,0.0.0.0,0,,tcp,0003C102241,103608,172.24.16.203,2118,,CoreEth1-2_Zone,
alert,,web-browsing,,,news-and-media,172.17.1.250,,8080,,FWeth1-2_Zone,client-to-server,,,0.0.0.0,0,0.0.0.0,0,,tcp,0003C102241,100763,172.24.16.203,2120,,CoreEth1-2_Zone,
alert,,web-browsing,,,news-and-media,172.17.1.250,,8080,,FWeth1-2_Zone,client-to-server,,,0.0.0.0,0,0.0.0.0,0,,tcp,0003C102241,107373,172.24.16.201,2010,,CoreEth1-2_Zone,
alert,,web-browsing,,,business-and-economy,172.21.4.51,,80,,VAdmin-ITConn,client-to-server,,,0.0.0.0,0,0.0.0.0,0,,tcp,0003C102241,93748,172.21.22.166,1883,,VAdmin-Building,
alert,,web-browsing,,,news-and-media,172.21.4.140,,8080,,VPlant-ITConn,client-to-server,,,0.0.0.0,0,0.0.0.0,0,,tcp,0003C102241,107502,172.21.32.135,3451,,VPlant-Building,
alert,,web-browsing,,,financial-services,172.21.4.140,,8080,,VAdmin-ITConn,client-to-server,,,0.0.0.0,0,0.0.0.0,0,,tcp,0003C102241,83631,172.21.23.119,3751,,VAdmin-Building,
