activity_id,activity_name,actor.authorizations[0].policy.uid,actor.session.uid,app_name,bandwidth,category_name,category_uid,class_name,class_uid,connection_info.direction_id,connection_info.protocol_num,dataSource.category,dataSource.name,dataSource.vendor,device.domain,device.name,device.uid,dst_endpoint.interface_name,dst_endpoint.ip,dst_endpoint.location.country,dst_endpoint.port,duration,durationdelta,event.type,message,metadata.log_name,metadata.original_time,metadata.product.name,metadata.product.vendor_name,metadata.uid,metadata.version,metric,monitor,observables[0].name,observables[0].type,observables[0].type_id,observables[0].value,observables[1].name,observables[1].type,observables[1].type_id,observables[1].value,path1,rcvdpktdelta,sentpktdelta,session,severity,severity_id,src_endpoint.interface_name,src_endpoint.ip,src_endpoint.location.country,src_endpoint.port,src_endpoint.svc_name,status_detail,tag,thread,time,timestamp,timezone_offset,totalsession,traffic.bytes_in,traffic.bytes_out,traffic.packets_in,traffic.packets_out,type_name,type_uid,unmapped.action,unmapped.addr,unmapped.appcat,unmapped.cpu,unmapped.date,unmapped.devid,unmapped.devname,unmapped.disk,unmapped.disklograte,unmapped.dstintfrole,unmapped.fazlograte,unmapped.freediskstorage,unmapped.interface,unmapped.level,unmapped.logdesc,unmapped.mem,unmapped.msg,unmapped.policytype,unmapped.rcvddelta,unmapped.sentdelta,unmapped.setuprate,unmapped.srcintfrole,unmapped.sysuptime,unmapped.total,unmapped.trandisp,unmapped.type,unmapped.used,unmapped.vd,unmapped.waninfo,value
6,traffic,6,e2a5f97c-2c65-404f-ae48-571354ca95f7,ZenDesk,,Network Activity,4,Network Activity,4001,6,4,security,FortiGate,Fortinet,LyfQ,LB-LOAD02-DR,f073c7e0-8646-4f9a-90a2-1f02c051b289,BSlk,127.0.0.1,SpWdfJPi,80,4,,traffic,-,local,1722173385841701979,FortiGate,Fortinet,8b201ded-12c1-4a3b-8a36-df548fa0a745,0.8.7,,agentSyslog,oNC_bDhaBLKa.sr,ZV kMdeNGn,7,788.4.1.4,Vkv_XZXPxsJu.rD,YZ mXhRlZi,1,129.9.2.7,,,,log_session_6649948535594099433,3,99,emSP,8.8.8.8,United States,63218,Vrol,,,log_2,3708844281424,1722173385841701979,-024,,554,022,4,5,Network Activity: Traffic,400106,close,,tNuaJdbsE,,1163-61-56,,,,,ZvaWuGtii,,,,notice,,,,,,,,yIImuBtrs,,,fWQV,,,,,
99,system,,,,,Uncategorized,0,Base Event,0,,,security,FortiGate,Fortinet,,,,,,,,,,system,-,system,1722173393675009921,FortiGate,Fortinet,f719864a-d489-4483-b8a4-c235cf6f32e1,5.6.4,,agentSyslog,,,,,,,,,,,,log_session_6649948535594099433,3,1,,,,,,,,log_2,7813657348821,1722173393675009921,-203,,,,,,Base Event: Other,99,,,,,0158-49-55,yaNpCh-a421AdKSg,NICliA-L168laPjT,,,,,,,information,iJPi UaGdqt BGgGc yAsSMRi,,"mOjhLqStq aXYN7 nynE k ijzP zgXQN, SS:755.20.25.24, mBbG:239.770.764.9, cgBzdDg:962.36.23.3, iCazY jEQYUSA:oMv XaW 18 93:12:96 7993",,,,,,,,,RpRAI,,hHqm,,
,,,,,,,,,,,,,FortiGate,Fortinet,,,,,,,,,,,-,,,,,,,logBytes,,,,,,,,,,kFzLblOS,,,log_session_1362102550056883915,3,,,,,,,,logVolume,metalog,,1722173400010062362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4796
,,,,,,,,,,,,,FortiGate,Fortinet,,,,,,,,,,,-,,,,,,,logEvents,,,,,,,,,,gLwKdphtP,,,log_session_1362102550056883915,3,,,,,,,,logVolume,metalog,,1722173400010126544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
6,traffic,1,04c6f792-cda4-4f9b-95e8-d0edf8dfbe5a,ServiceNow,,Network Activity,4,Network Activity,4001,0,82,security,FortiGate,Fortinet,GIbg,SRV-WEB02-QA,f719864a-d489-4483-b8a4-c235cf6f32e1,rLTk,192.0.2.5,KONjekgw,68,096,,traffic,-,local,1722173569901703141,FortiGate,Fortinet,14e8d26d-62df-4bb2-9440-5abbe9d50024,3.8.1,,agentSyslog,VhJ_rcEmkmdk.qf,yr WnlSucO,2,780.69.09.7,CEk_WkMAneJb.Tw,AR HOBaRFL,1,285.19.72.69,,,,log_session_6649948535594099433,3,99,vVNj5,10.0.0.9,Russia,42,bdpH,,,log_2,9295445093252,1722173569901703141,-948,,0,655,9,4,Network Activity: Traffic,400106,accept,,kQXEKoWAp,,2054-43-69,,,,,Vcbvumpag,,,,notice,,,,NBOHM-Fg-ckVVIo,,,,ZceSDRvwq,,,yiVc,,,,,
,,,,,,,,,,,,,FortiGate,Fortinet,,,,,,,,,,,-,,,,,,,logBytes,,,,,,,,,,pgFdMddx,,,log_session_1361327674227836665,3,,,,,,,,logVolume,metalog,,1722173580031368714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353
,,,,,,,,,,,,,FortiGate,Fortinet,,,,,,,,,,,-,,,,,,,logEvents,,,,,,,,,,AnUhWlFCv,,,log_session_1361327674227836665,3,,,,,,,,logVolume,metalog,,1722173580031448131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
6,traffic,6,e5f38a42-9be4-4e4e-98f1-7528a02a1f66,LogMeIn,,Network Activity,4,Network Activity,4001,5,38,security,FortiGate,Fortinet,pMxR,SRV-WEB02-QA,8f03b7f1-f632-4a98-832c-99d1460b33ea,inox9,203.0.113.5,sTafYMwG,53,6840,756,traffic,-,local,1722173616621702096,FortiGate,Fortinet,3d1bfa42-d1f7-4a95-bd61-0dd219cde31d,4.5.4,,agentSyslog,JHn_WTEluIJa.qE,AF ljwXvAo,6,474.00.53.83,QSI_ROFSMpjf.CU,yG iJUBPfB,4,590.91.2.7,,7,8,log_session_6649948535594099433,3,99,Ruql,198.51.100.6,United States,1898,wIp,,,log_2,8390048742573,1722173616621702096,-349,,11432,8352,525,258,Network Activity: Traffic,400106,accept,,txWQjigYj,,2408-99-51,,,,,OGRwlNCzK,,,,notice,,,,,323,039,,YAuWOmumS,,,mSph,,,,,
,,,,,,,,,,,,,FortiGate,Fortinet,,,,,,,,,,,-,,,,,,,logBytes,,,,,,,,,,PzwBdLht,,,log_session_1361327674227836665,3,,,,,,,,logVolume,metalog,,1722173640014537370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,806
,,,,,,,,,,,,,FortiGate,Fortinet,,,,,,,,,,,-,,,,,,,logEvents,,,,,,,,,,XRouJdQsZ,,,log_session_1361327674227836665,3,,,,,,,,logVolume,metalog,,1722173640014548300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
6,traffic,7,b1d7a914-7db0-45b3-986d-c5f6bc36a198,Google Workspace,,Network Activity,4,Network Activity,4001,0,88,security,FortiGate,Fortinet,dwIR,VM-DEV04-APP,f073c7e0-8646-4f9a-90a2-1f02c051b289,ESdE6,198.51.100.2,dUTahX PBITvW,123,777,,traffic,-,local,1722173645421700210,FortiGate,Fortinet,7cfa9ac2-6e0e-4f7b-aa55-ff833204ea03,3.8.4,,agentSyslog,Ttg_bhoVdHaZ.xb,Qa EPLxdOI,5,523.54.56.24,jeT_KHlMXaQP.Oh,Hf RZHuWQY,7,772.69.964.87,,,,log_session_6649948535594099433,3,99,XxHi,198.51.100.4,Germany,875,quW,,,log_2,7632202884873,1722173645421700210,-941,,42,93,7,1,Network Activity: Traffic,400106,accept,,LkWQORYSS,,1119-17-40,,,,,qWOQcLeQS,,,,notice,,,,,,,,LsjZDuwhw,,,rAzC,,,,,
6,traffic,3,42d0d22a-7f8a-4966-9754-257b6e525eb4,AWS S3,,Network Activity,4,Network Activity,4001,9,63,security,FortiGate,Fortinet,lQqZ,CLUSTER-DB05-INT,e5f38a42-9be4-4e4e-98f1-7528a02a1f66,dWTd4,172.16.0.6,BOvUWs wyfjrL,123,771,,traffic,-,local,1722173645421707961,FortiGate,Fortinet,15a13e7f-eb5d-41d4-9a8b-3db04a94ad8d,1.5.4,,agentSyslog,loW_VxUykdIe.ph,Yn TbyzGTB,2,783.47.07.12,UAT_MSYZTECP.xs,bF YSNtfGu,8,461.72.693.91,,,,log_session_6649948535594099433,3,99,wdkq,172.16.0.8,United States,809,Dsa,,,log_2,9202891358415,1722173645421707961,-677,,04,46,6,2,Network Activity: Traffic,400106,accept,,sFjxGWbZX,,3991-79-52,,,,,XCbLbmtzY,,,,notice,,,,,,,,csrPnXmJP,,,FCYg,,,,,
6,traffic,7,b1d7a914-7db0-45b3-986d-c5f6bc36a198,ServiceNow,,Network Activity,4,Network Activity,4001,2,43,security,FortiGate,Fortinet,poty,GW-FW03-STAGE,86f6b5dd-b08b-4d69-a20c-853dbf1c014a,RQsZ0,203.0.113.1,htwDpF tApwsu,123,540,,traffic,-,local,1722173645421713582,FortiGate,Fortinet,7f71a485-499e-42f5-9c49-1e2e4cb4870f,8.0.1,,agentSyslog,tPY_nKOKsRzx.OH,uK SBKJAea,4,304.72.26.80,xmS_wAtydUoI.bR,yk kImIzCD,4,416.55.125.01,,,,log_session_6649948535594099433,3,99,uVUE,192.0.2.9,Germany,057,oOF,,,log_2,6392397598080,1722173645421713582,-812,,01,84,5,0,Network Activity: Traffic,400106,accept,,tBkgxcjAy,,4219-73-96,,,,,ewtiOIYAY,,,,notice,,,,,,,,zFDpYhjre,,,vWln,,,,,
6,traffic,8,42d0d22a-7f8a-4966-9754-257b6e525eb4,Google Workspace,,Network Activity,4,Network Activity,4001,0,52,security,FortiGate,Fortinet,dtNr,LB-LOAD02-DR,f719864a-d489-4483-b8a4-c235cf6f32e1,VQvl3,192.168.0.1,NvSQGm cUOmps,123,871,,traffic,-,local,1722173645421714037,FortiGate,Fortinet,c47bdf19-daf1-4d46-9b6a-524ea68e833f,6.2.0,,agentSyslog,XBM_fhcNDZHl.lQ,yt mdQZBRC,6,922.03.16.93,Ztt_FQdxRZeE.ZV,Df JshUAvP,4,425.23.657.51,,,,log_session_6649948535594099433,3,99,QbPN,203.0.113.2,China,261,kXF,,,log_2,4826832175805,1722173645421714037,-756,,67,28,6,9,Network Activity: Traffic,400106,accept,,YfuAcXVGI,,0821-22-81,,,,,VWkxUKYdo,,,,notice,,,,,,,,BvpSXDKHQ,,,jycP,,,,,
6,traffic,4,9058a660-bbb7-4b63-b3fb-0a1c3dfb0d46,Salesforce,,Network Activity,4,Network Activity,4001,6,5,security,FortiGate,Fortinet,FMNH,NAS-STOR01-UAT,63547fc9-049d-4e7e-8b3f-68e5b18a0e44,ZSMg2,172.16.0.6,PoZipT qLLWkq,443,5,,traffic,-,local,1722173645431701313,FortiGate,Fortinet,c109d1c1-af2a-450c-a7ea-d9514a9d1402,0.3.8,,agentSyslog,Jed_wNLBFWZu.wz,oS aOWgsFg,1,392.27.07.76,ATm_tLYBHKCE.NS,Qj PkGXEiz,3,410.253.127.7,,,,log_session_6649948535594099433,3,99,gwCM,198.51.100.2,Russia,6018,Njtrf,,,log_2,5559177747619,1722173645431701313,-866,,4137,0185,85,52,Network Activity: Traffic,400106,server-rst,,FoEAuWdFw,,9423-56-70,,,,,ZHwwNSvdo,,,,notice,,,,,,,,fygIyCREs,,,RLJd,,,,,
,,,,,,,,,,,,,FortiGate,Fortinet,,,,,,,,,,,-,,,,,,,logBytes,,,,,,,,,,zSQtQekP,,,log_session_1361327674227836665,3,,,,,,,,logVolume,metalog,,1722173670020154430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7835
,,,,,,,,,,,,,FortiGate,Fortinet,,,,,,,,,,,-,,,,,,,logEvents,,,,,,,,,,sDDujdEYk,,,log_session_1361327674227836665,3,,,,,,,,logVolume,metalog,,1722173670020241281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
99,system,,,,8/3,Uncategorized,0,Base Event,0,,,security,FortiGate,Fortinet,,,,,,,,,,system,-,system,1722173684754298958,FortiGate,Fortinet,8b201ded-12c1-4a3b-8a36-df548fa0a745,4.0.7,,agentSyslog,,,,,,,,,,,,log_session_6649948535594099433,3,99,,,,,,,,log_2,1836167093025,1722173684754298958,-746,0,,,,,Base Event: Other,99,perf-stats,,,8,6677-39-73,BvxqOA-n467JQhMM,ouFnei-S544TknqH,1,4,,8,56562,,notice,DjvRld poaWJdUpCBV iNGXUpQUtr,38,"WgArpZUgICY NcQITYbPCu: KktNapy Yrh: 1, mRupNV:  27, CyQJWPENxh JFnClTim:  2, DImeB-KQPO: 9",,,,7,,583878,,,YikPl,,uZoP,q/g,
6,traffic,7,c109d1c1-af2a-450c-a7ea-d9514a9d1402,Atlassian,,Network Activity,4,Network Activity,4001,7,6,security,FortiGate,Fortinet,btFR,APP-APP01-PROD,15a13e7f-eb5d-41d4-9a8b-3db04a94ad8d,puzm,10.0.0.6,qWnZUzRH,80,9,,traffic,-,local,1722173685831702949,FortiGate,Fortinet,b68c8b07-e684-4a23-9c7f-d927c6f23f19,4.0.0,,agentSyslog,oBS_ligjEzzu.UO,Ug EqFMGeA,5,435.9.0.3,lKw_bikUHAYp.sj,dG iAxrvfK,9,943.2.0.5,,,,log_session_6649948535594099433,3,99,jOSs,10.0.0.7,United States,76994,sCtZ,,,log_2,3162462869999,1722173685831702949,-395,,055,935,6,7,Network Activity: Traffic,400106,close,,scwBndYLN,,9637-85-88,,,,,uccLtNtqO,,,,notice,,,,,,,,FnWVSkOYU,,,kbMZ,,,,,
,,,,,,,,,,,,,FortiGate,Fortinet,,,,,,,,,,,-,,,,,,,logBytes,,,,,,,,,,KDyFrlzI,,,log_session_1361327674227836665,3,,,,,,,,logVolume,metalog,,1722173700015941080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1169
,,,,,,,,,,,,,FortiGate,Fortinet,,,,,,,,,,,-,,,,,,,logEvents,,,,,,,,,,MHyCZTnVa,,,log_session_1361327674227836665,3,,,,,,,,logVolume,metalog,,1722173700015951697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
6,traffic,3,b68c8b07-e684-4a23-9c7f-d927c6f23f19,Workday,,Network Activity,4,Network Activity,4001,8,4,security,FortiGate,Fortinet,IkCp,VM-DEV04-APP,c4f78908-3834-4e96-8d5b-5a9b4b671951,HMSV3,192.168.0.6,NSkDhk pYgPtC,443,0,,traffic,-,local,1722173716861702813,FortiGate,Fortinet,ee05e1d1-e4a8-4ad2-a20f-c3d86b09127f,0.0.2,,agentSyslog,rYu_CcszuyFA.qA,CS wBvtsMH,9,452.99.52.95,GsH_GMQZnaFQ.qN,ve UOwTSZt,1,836.237.828.4,,,,log_session_6649948535594099433,3,99,hvwt,1.1.1.1,United States,4725,fCeSf,,,log_2,8988042033693,1722173716861702813,-076,,64096,6843,03,39,Network Activity: Traffic,400106,server-rst,,OqDylYHlz,,4234-56-04,,,,,fBvQKdYjk,,,,notice,,,,,,,,zzQcADsUW,,,KBgL,,,,,
6,traffic,1,e5f38a42-9be4-4e4e-98f1-7528a02a1f66,Oracle Cloud,,Network Activity,4,Network Activity,4001,8,0,security,FortiGate,Fortinet,qAgm,SRV-WEB02-QA,0c8a1a13-61a1-4fb2-aa4a-c5fbaa5c06ae,fmqJ2,1.1.1.1,JPSKrH tSiwkZ,443,1,,traffic,-,local,1722173723531702893,FortiGate,Fortinet,b1d7a914-7db0-45b3-986d-c5f6bc36a198,6.9.6,,agentSyslog,nUD_InTDxJYx.vF,QP uJQVGxx,6,018.96.84.61,zFR_aAkvmcBa.XO,JY aTbSZFv,3,868.401.276.1,,,,log_session_6649948535594099433,3,99,yRly,8.8.8.8,Germany,6540,bbRnp,,,log_2,7144344014782,1722173723531702893,-332,,23013,0659,67,20,Network Activity: Traffic,400106,close,,jUNFcXYLa,,9506-14-46,,,,,aokKLcVNH,,,,notice,,,,,,,,KEzJMxHjN,,,AMIe,,,,,
,,,,,,,,,,,,,FortiGate,Fortinet,,,,,,,,,,,-,,,,,,,logBytes,,,,,,,,,,LPgRANeX,,,log_session_1366225576172093955,3,,,,,,,,logVolume,metalog,,1722173730055368422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1755
,,,,,,,,,,,,,FortiGate,Fortinet,,,,,,,,,,,-,,,,,,,logEvents,,,,,,,,,,fRHqSmOll,,,log_session_1366225576172093955,3,,,,,,,,logVolume,metalog,,1722173730055378154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
6,traffic,0,8b201ded-12c1-4a3b-8a36-df548fa0a745,ServiceNow,,Network Activity,4,Network Activity,4001,3,43,security,FortiGate,Fortinet,JTdS,CLUSTER-DB05-INT,49fe3192-6e6a-4a93-9a8c-bcf7c4f8729d,NgiN4,192.168.0.9,RzpxebQA,514,683,808,traffic,-,local,1722173903991702588,FortiGate,Fortinet,d22f6f8c-2a34-4fc2-9a08-17f442e3d86d,8.3.7,,agentSyslog,HNB_zoHNNOFc.om,qr ISktQSP,9,006.12.41.23,frH_cXpdWCGy.Ar,pw wWUVnXU,1,627.17.25.74,,9,2,log_session_6649948535594099433,3,99,qWaV,198.51.100.2,Canada,55759,DicGmK,,,log_2,0561329878035,1722173903991702588,-581,,1,1864,3,65,Network Activity: Traffic,400106,accept,,eCXxFrkIg,,4044-49-29,,,,,YpytjbCaz,,,,notice,,,,,4,2767,,dyVFEHIqi,,,nsbB,,,,,
,,,,,,,,,,,,,FortiGate,Fortinet,,,,,,,,,,,-,,,,,,,logBytes,,,,,,,,,,BrbPoDYp,,,log_session_1366225576172093955,3,,,,,,,,logVolume,metalog,,1722173910016577447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402
,,,,,,,,,,,,,FortiGate,Fortinet,,,,,,,,,,,-,,,,,,,logEvents,,,,,,,,,,DhvXPFyXg,,,log_session_1366225576172093955,3,,,,,,,,logVolume,metalog,,1722173910016593283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
99,system,,,,9/0,Uncategorized,0,Base Event,0,,,security,FortiGate,Fortinet,,,,,,,,,,system,-,system,1722173984759065093,FortiGate,Fortinet,d0a9512d-2a8c-4c4d-a4a0-9d867f5722e5,5.8.0,,agentSyslog,,,,,,,,,,,,log_session_6649948535594099433,3,99,,,,,,,,log_2,3471798643909,1722173984759065093,-291,0,,,,,Base Event: Other,99,perf-stats,,,0,5101-18-76,hIiNnM-G912wNimg,JHgwZE-V543HNgri,3,1,,6,61222,,notice,BYxctp VYKYFMggxbK PPWiRpDPAZ,53,"mHblzAJDLVq DwkSAvZEVW: psvuKUD Los: 1, EVUcpV:  02, AdXYbFMKzQ DeGeskgs:  6, lJLLQ-ZVPz: 5",,,,0,,140223,,,iDgCe,,cVnV,N/Y,
6,traffic,0,f073c7e0-8646-4f9a-90a2-1f02c051b289,ServiceNow,,Network Activity,4,Network Activity,4001,1,6,security,FortiGate,Fortinet,jpSO,CLUSTER-DB05-INT,06de8ec4-8f47-45d8-92a8-6621d3e6cdd5,SCZJ,198.51.100.7,KDSvCUru,80,3,,traffic,-,local,1722173985831707383,FortiGate,Fortinet,26887007-869d-4ff2-bc5b-44a8c07db4d9,8.1.8,,agentSyslog,Ihq_udSAiyBY.UL,Rd dOMwpWk,3,864.1.1.7,cBS_BtOwbOFr.aF,LD SSsmtzX,3,209.6.7.1,,,,log_session_6649948535594099433,3,99,tRXC,172.16.0.7,United States,77345,rXPs,,,log_2,9961014770563,1722173985831707383,-825,,446,500,9,0,Network Activity: Traffic,400106,close,,nuFaefbis,,0914-72-43,,,,,lRmJvMrNN,,,,notice,,,,,,,,PlvKfZrqy,,,YsjS,,,,,
,,,,,,,,,,,,,FortiGate,Fortinet,,,,,,,,,,,-,,,,,,,logBytes,,,,,,,,,,TdOEdKhm,,,log_session_1366225576172093955,3,,,,,,,,logVolume,metalog,,1722174000036992242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4754
,,,,,,,,,,,,,FortiGate,Fortinet,,,,,,,,,,,-,,,,,,,logEvents,,,,,,,,,,CqEskUvTF,,,log_session_1366225576172093955,3,,,,,,,,logVolume,metalog,,1722174000037010236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
6,traffic,5,9058a660-bbb7-4b63-b3fb-0a1c3dfb0d46,Snowflake,,Network Activity,4,Network Activity,4001,7,50,security,FortiGate,Fortinet,CLlz,GW-FW03-STAGE,3d1bfa42-d1f7-4a95-bd61-0dd219cde31d,VQIT8,172.16.0.7,KHVtJtRD,514,388,,traffic,-,local,1722174167031705428,FortiGate,Fortinet,d0a9512d-2a8c-4c4d-a4a0-9d867f5722e5,6.9.8,,agentSyslog,vju_szhIfUzT.fA,Dt SDokpJm,0,075.29.53.09,OkU_ZAlklllJ.LE,Mg RxBxDIV,9,384.29.57.98,,,,log_session_6649948535594099433,3,99,TBkp,198.51.100.6,Germany,05863,KbIWMD,,,log_2,5425212469505,1722174167031705428,-100,,9,6962,8,7,Network Activity: Traffic,400106,accept,,xUKUcbquU,,3550-19-13,,,,,FwQXMgmFs,,,,notice,,,,,,,,mOzpTveAc,,,QzDi,,,,,
