CacheCacheStatus,CacheReserveUsed,CacheResponseBytes,CacheResponseStatus,CacheTieredFill,ClientASN,ClientCountry,ClientDeviceType,ClientIP,ClientIPClass,ClientMTLSAuthCertFingerprint,ClientMTLSAuthStatus,ClientRegionCode,ClientRequestBytes,ClientRequestHost,ClientRequestMethod,ClientRequestPath,ClientRequestProtocol,ClientRequestReferer,ClientRequestScheme,ClientRequestSource,ClientRequestURI,ClientRequestUserAgent,ClientSSLCipher,ClientSSLProtocol,ClientSrcPort,ClientTCPRTTMs,ClientXRequestedWith,ContentScanObjResults,ContentScanObjTypes,EdgeCFConnectingO2O,EdgeColoCode,EdgeColoID,EdgeEndTimestamp,EdgePathingOp,EdgePathingSrc,EdgePathingStatus,EdgeRateLimitAction,EdgeRateLimitID,EdgeRequestHost,EdgeResponseBodyBytes,EdgeResponseBytes,EdgeResponseCompressionRatio,EdgeResponseContentType,EdgeResponseStatus,EdgeServerIP,EdgeStartTimestamp,EdgeTimeToFirstByteMs,FirewallMatchesActions,FirewallMatchesRuleIDs,FirewallMatchesSources,OriginDNSResponseTimeMs,OriginIP,OriginRequestHeaderSendDurationMs,OriginResponseBytes,OriginResponseDurationMs,OriginResponseHTTPExpires,OriginResponseHTTPLastModified,OriginResponseHeaderReceiveDurationMs,OriginResponseStatus,OriginResponseTime,OriginSSLProtocol,OriginTCPHandshakeDurationMs,OriginTLSHandshakeDurationMs,ParentRayID,RayID,SecurityLevel,SmartRouteColoID,UpperTierColoID,WAFAction,WAFAttackScore,WAFFlags,WAFMatchedVar,WAFProfile,WAFRCEAttackScore,WAFRuleID,WAFRuleMessage,WAFSQLiAttackScore,WAFXSSAttackScore,WorkerCPUTime,WorkerStatus,WorkerSubrequest,WorkerSubrequestCount,WorkerWallTimeUs,ZoneName,cloudflare,dataSource.category,dataSource.name,dataSource.vendor,message,session,severity,thread,timestamp
hGdfHnZ,DfZGV,2520,244,False,1092592592592592452,us,hVGwVGY,172.16.0.7,noRecord,,GdwdGXd,OR,1614,ns.example.com:443,POST,/oauth2/v1/authorize,HTTP/1.1,https://www.synaptogen.synapse,https,VGVifZZ,/api/v1/products,Apache-HttpClient/4.5.13 (Java/11.0.20.1),AEAD-CHACHA20-POLY1305-SHA256,TLSv1.2,24144,7,,[],[],DfZGV,hiV,42,2426-42-26V26:41:24G,XZ,HfZfG,df,,4,na.example.cloud:443,99,1362,0.75,application/json,200,192.0.2.2,2426-42-26V26:41:24G,246,[GwnY],1b20ecab-2b0a-442c-9b79-478cfb1df6e9,[KnfVXfZZlGGVGH],4,192.0.2.9,2,4,14,,,11,244,14444444,VhVp2.2,4,4,4,46f14121K1114fh1,GKK,4,4,GdwdGXd,4,4,,GdwdGXd,4,,,4,4,4,GdwdGXd,DfZGV,4,4,/api/v1/categories,VfGV,security,Cloudflare,Cloudflare,-,log_session_6713275230968868244,3,default,1706112430000000000
hGdfHnZ,DfZGV,3868,244,False,1061718373779981336,us,hVGwVGY,192.168.0.3,noRecord,,GdwdGXd,OR,6642,na.acme.cloud:443,POST,/oauth2/v1/token,HTTP/1.1,https://www.imaginariumlabs.io,https,VGVifZZ,/api/v1/reviews,Apache-HttpClient/4.5.13 (Java/11.0.20.1),DHE-RSA-CHACHA20-POLY1305,TLSv1.2,6424,7,,[],[],DfZGV,hiV,42,2426-42-26V26:41:24G,XZ,HfZfG,df,,4,na.example.cloud:443,99,1362,0.75,application/json,200,10.0.0.7,2426-42-26V26:41:24G,244,[GwnY],8f03b7f1-f632-4a98-832c-99d1460b33ea,[KnfVXfZZlGGVGH],4,8.8.8.8,4,4,242,,,61,244,242444444,VhVp2.2,4,4,4,46f1412661164fh1,GKK,112,4,GdwdGXd,4,4,,GdwdGXd,4,,,4,4,4,GdwdGXd,DfZGV,4,4,/api/v1/stats,VfGV,security,Cloudflare,Cloudflare,-,log_session_6713275230968868244,3,default,1706112430000000000
hGdfHnZ,DfZGV,3857,244,False,1218395085905671888,ie,hVGwVGY,172.16.0.4,unknown,,GdwdGXd,L,6412,na.acme.cloud:443,POST,/audit/logs/system,HTTP/1.1,https://www.innovoid.space,https,VGVifZZ,/api/v1/notifications,Apache-HttpClient/4.5.13 (Java/11.0.18),ECDHE-RSA-DES-CBC3-SHA,TLSv1.3,14166,2,,[],[],DfZGV,VnZ,12,2426-42-26V26:41:24G,XZ,HfZfG,GdwdGXd,,4,ns.example.com:443,2,1231,1,application/json,200,203.0.113.2,2426-42-26V26:41:24G,261,[GwnY],a8a5bc3c-1a16-47a1-9c0d-91c96b94af1d,[KnfVXfZZlGGVGH],4,172.16.0.6,4,4,261,,,64,244,261444444,VhVp2.2,4,4,4,46f14121KK122i12,GKK,114,4,GdwdGXd,4,4,,GdwdGXd,4,,,4,4,4,GdwdGXd,DfZGV,4,4,/api/v1/users,VfGV,security,Cloudflare,Cloudflare,-,log_session_6713275230968868244,3,default,1706112430000000000
hGdfHnZ,DfZGV,2490,244,False,546543731354084447,us,hVGwVGY,203.0.113.6,noRecord,,GdwdGXd,VA,2662,na.acme.cloud:443,POST,/security/logs/authentication-failures,HTTP/1.1,https://www.ideapalooza.foundation,https,VGVifZZ,/api/v1/orders,Apache-HttpClient/4.5.13 (Java/11.0.20.1),AES256-SHA256,TLSv1.3,21224,13,,[],[],DfZGV,KiV,621,2426-42-26V26:41:24G,XZ,HfZfG,df,,4,sw.example.cloud:443,20,1251,1,application/json,200,172.16.0.2,2426-42-26V26:41:24G,16,[GwnY],63547fc9-049d-4e7e-8b3f-68e5b18a0e44,[KnfVXfZZlGGVGH],4,198.51.100.2,4,4,22,,,24,244,22444444,VhVp2.2,4,4,4,46f141212iZ6424Z,GKK,4,4,GdwdGXd,4,4,,GdwdGXd,4,,,4,4,4,GdwdGXd,DfZGV,4,4,/api/v1/auth,VfGV,security,Cloudflare,Cloudflare,-,log_session_6713275230968868244,3,default,1706112430000000000
hGdfHnZ,DfZGV,3849,244,False,1061718373779981336,us,hVGwVGY,203.0.113.5,noRecord,,GdwdGXd,OR,2141,sw.example.cloud:443,POST,/audit/logs/system,HTTP/1.1,https://www.innovoid.space,https,VGVifZZ,/api/v1/settings,Apache-HttpClient/4.5.13 (Java/11.0.19),AES128-SHA,TLSv1.3,21166,7,,[],[],DfZGV,Vei,161,2426-42-26V26:41:24G,XZ,HfZfG,df,,4,na.example.cloud:443,20,1251,1,application/json,200,172.16.0.5,2426-42-26V26:41:24G,16,[GwnY],c47bdf19-daf1-4d46-9b6a-524ea68e833f,[KnfVXfZZlGGVGH],4,10.0.0.3,4,4,41,,,41,244,41444444,VhVp2.2,4,4,4,46f1412K4V16Z11h,GKK,161,4,GdwdGXd,4,4,,GdwdGXd,4,,,4,4,4,GdwdGXd,DfZGV,4,4,/api/v1/categories,VfGV,security,Cloudflare,Cloudflare,-,log_session_6713275230968868244,3,default,1706112430000000000
hGdfHnZ,DfZGV,2548,244,False,1076256770860691142,us,hVGwVGY,198.51.100.1,noRecord,,GdwdGXd,,26112,sw.example.cloud:443,POST,/security/logs/authorization,HTTP/1.1,https://www.intellisphere.smart,https,VGVifZZ,/api/v1/reviews,Apache-HttpClient/4.5.13 (Java/11.0.20.1),AEAD-CHACHA20-POLY1305-SHA256,TLSv1.2,11614,11,,[],[],DfZGV,YMV,111,2426-42-26V26:41:24G,XZ,HfZfG,df,,4,na.acme.cloud:443,99,1362,0.75,application/json,200,172.16.0.9,2426-42-26V26:41:24G,211,[GwnY],6ad8316b-9a4a-4bf4-bf97-20171764e00a,[KnfVXfZZlGGVGH],4,192.168.0.5,4,4,11,,,11,244,11444444,VhVp2.2,4,4,4,46f141226Z6V64i2,GKK,4,4,GdwdGXd,4,4,,GdwdGXd,4,,,4,4,4,GdwdGXd,DfZGV,4,4,/api/v1/stats,VfGV,security,Cloudflare,Cloudflare,-,log_session_6713275230968868244,3,default,1706112430000000000
hGdfHnZ,DfZGV,2464,244,False,970001523870317610,us,hVGwVGY,192.0.2.6,noRecord,,GdwdGXd,KY,6261,na.acme.cloud:443,POST,/oauth2/v1/token,HTTP/1.1,https://www.ideapalooza.foundation,https,VGVifZZ,/api/v1/settings,Apache-HttpClient/4.5.13 (Java/11.0.20.1),RC4-SHA,TLSv1.3,11166,3,,[],[],DfZGV,VDD,21,2426-42-26V26:41:24G,XZ,HfZfG,df,,4,sw.example.cloud:443,2,1231,1,application/json,200,172.16.0.1,2426-42-26V26:41:24G,16,[GwnY],0c8a1a13-61a1-4fb2-aa4a-c5fbaa5c06ae,[KnfVXfZZlGGVGH],4,1.1.1.1,4,4,11,,,11,244,11444444,VhVp2.2,4,4,4,46f1412661V42V1V,GKK,4,4,GdwdGXd,4,4,,GdwdGXd,4,,,4,4,4,GdwdGXd,DfZGV,4,4,/api/v1/orders,VfGV,security,Cloudflare,Cloudflare,-,log_session_6713275230968868244,3,default,1706112430000000000
hGdfHnZ,DfZGV,2373,244,False,1218395085905671888,us,hVGwVGY,172.16.0.3,noRecord,,GdwdGXd,WA,2244,na.example.cloud:443,GET,/security/logs/authentication-failures,HTTP/1.1,https://www.flimflam.biz,https,VGVifZZ,/api/v1/users,Apache-HttpClient/4.5.13 (Java/11.0.20.1),AES128-SHA,TLSv1.2,2141,5,,[],[],DfZGV,Vei,162,2426-42-26V26:41:24G,XZ,HfZfG,df,,4,na.example.cloud:443,15,1164,1,,200,10.0.0.7,2426-42-26V26:41:24G,224,[GwnY],b68c8b07-e684-4a23-9c7f-d927c6f23f19,[KnfVXfZZlGGVGH],4,192.0.2.5,4,4,222,,,222,244,222444444,VhVp2.2,4,4,4,46f141221i11Z6h2,GKK,4,4,GdwdGXd,4,4,,GdwdGXd,4,,,4,4,4,GdwdGXd,DfZGV,4,4,/api/v1/orders,VfGV,security,Cloudflare,Cloudflare,-,log_session_6713275230968868244,3,default,1706112430000000000
hGdfHnZ,DfZGV,4192,244,False,683006993006993165,us,hVGwVGY,192.168.0.9,noRecord,,GdwdGXd,WA,2261,na.acme.cloud:443,GET,/security/logs/authorization,HTTP/1.1,https://www.quantalin.analytics,https,VGVifZZ,/api/v1/settings,Apache-HttpClient/4.5.13 (Java/11.0.20.1),CHACHA20-POLY1305-SHA256,TLSv1.2,2141,5,,[],[],DfZGV,Vei,162,2426-42-26V26:41:22G,XZ,HfZfG,df,,4,na.example.cloud:443,1661,2948,0,application/json,200,203.0.113.7,2426-42-26V26:41:24G,44,[GwnY],0c8a1a13-61a1-4fb2-aa4a-c5fbaa5c06ae,[KnfVXfZZlGGVGH],4,198.51.100.9,4,4,11,,,11,244,11444444,VhVp2.2,4,4,4,46f141216K66Z6h2,GKK,4,4,GdwdGXd,4,4,,GdwdGXd,4,,,4,4,4,GdwdGXd,DfZGV,4,4,/api/v1/notifications,VfGV,security,Cloudflare,Cloudflare,-,log_session_6713275230968868244,3,default,1706112430000000000
hGdfHnZ,DfZGV,3870,244,False,683065370766154306,us,hVGwVGY,172.16.0.2,noRecord,,GdwdGXd,VA,1124,sw.example.cloud:443,POST,/security/logs/authentication,HTTP/1.1,https://www.flimflam.biz,https,VGVifZZ,/api/v1/categories,Apache-HttpClient/4.5.13 (Java/11.0.20.1),AES256-SHA256,TLSv1.2,26121,6,,[],[],DfZGV,KiV,626,2426-42-26V26:41:24G,XZ,HfZfG,df,,4,na.acme.cloud:443,99,1362,0.75,application/json,200,203.0.113.5,2426-42-26V26:41:24G,214,[GwnY],5b0a8109-dde2-4f8a-8c79-d6c541dbf312,[KnfVXfZZlGGVGH],4,172.16.0.9,4,4,221,,,221,244,221444444,VhVp2.2,4,4,4,46f1412Kf1221111,GKK,111,4,GdwdGXd,4,4,,GdwdGXd,4,,,4,4,4,GdwdGXd,DfZGV,4,4,/api/v1/reviews,VfGV,security,Cloudflare,Cloudflare,-,log_session_6713275230968868244,3,default,1706112430000000000
hGdfHnZ,DfZGV,2540,244,False,683065370766154306,us,hVGwVGY,8.8.8.8,noRecord,,GdwdGXd,NC,6424,na.example.cloud:443,POST,/audit/logs/access,HTTP/1.1,https://www.disruptionista.rebel,https,VGVifZZ,/api/v1/orders,Apache-HttpClient/4.5.13 (Java/11.0.20.1),AEAD-CHACHA20-POLY1305-SHA256,TLSv1.2,66211,8,,[],[],DfZGV,YMV,111,2426-42-26V26:41:24G,XZ,HfZfG,df,,4,na.example.cloud:443,113,1376,0.86,application/json,200,172.16.0.6,2426-42-26V26:41:24G,221,[GwnY],6a271f0d-af67-4e3b-9dfe-39909bb3e376,[KnfVXfZZlGGVGH],4,10.0.0.6,4,4,11,,,14,244,11444444,VhVp2.2,4,4,4,46f14126V12262K4,GKK,4,4,GdwdGXd,4,4,,GdwdGXd,4,,,4,4,4,GdwdGXd,DfZGV,4,4,/api/v1/settings,VfGV,security,Cloudflare,Cloudflare,-,log_session_6713275230968868244,3,default,1706112430000000000
hGdfHnZ,DfZGV,2418,244,False,1515873019366026880,us,hVGwVGY,192.0.2.9,noRecord,,GdwdGXd,OH,2462,sw.example.cloud:443,PUT,/security/logs/intrusion-detection,HTTP/1.1,https://www.intellisphere.smart,https,VGVifZZ,/api/v1/stats,Apache-HttpClient/4.5.13 (Java/11.0.19),AES128-SHA,TLSv1.2,62424,14,,[],[],DfZGV,YMV,111,2426-42-26V26:41:24G,XZ,HfZfG,df,,4,sw.example.cloud:443,0,1188,1,application/json,200,192.168.0.3,2426-42-26V26:41:24G,214,[GwnY],a8a5bc3c-1a16-47a1-9c0d-91c96b94af1d,[KnfVXfZZlGGVGH],4,192.168.0.1,4,4,226,,,226,244,226444444,VhVp2.2,4,4,4,46f14122ZZZ12f16,GKK,4,4,GdwdGXd,4,4,,GdwdGXd,4,,,4,4,4,GdwdGXd,DfZGV,4,4,/api/v1/categories,VfGV,security,Cloudflare,Cloudflare,-,log_session_6713275230968868244,3,default,1706112430000000000
hGdfHnZ,DfZGV,4193,244,False,1076256770860691142,us,hVGwVGY,198.51.100.3,noRecord,,GdwdGXd,WA,2261,ns.example.com:443,GET,/audit/logs/system,HTTP/1.1,https://www.ideapalooza.foundation,https,VGVifZZ,/api/v1/categories,Apache-HttpClient/4.5.13 (Java/11.0.20.1),AES128-SHA,TLSv1.2,2121,5,,[],[],DfZGV,Vei,161,2426-42-26V26:41:24G,XZ,HfZfG,df,,4,na.acme.cloud:443,1661,2948,0,application/json,200,10.0.0.9,2426-42-26V26:41:24G,222,[GwnY],04c6f792-cda4-4f9b-95e8-d0edf8dfbe5a,[KnfVXfZZlGGVGH],4,192.168.1.1,4,4,12,,,12,244,12444444,VhVp2.2,4,4,4,46f14122iVi4Z146,GKK,4,4,GdwdGXd,4,4,,GdwdGXd,4,,,4,4,4,GdwdGXd,DfZGV,4,4,/api/v1/categories,VfGV,security,Cloudflare,Cloudflare,-,log_session_6713275230968868244,3,default,1706112430000000000
