Action,Application,Bytes,Bytes_Received,Bytes_Sent,Category,Content-Threat_Type,Destination_IP,Destination_Port,Destination_User,Destination_Zone,Direction,Elapsed_Time,Flags,Inbound_Interface,Log_Action,NAT_Destination_IP,NAT_Destination_Port,NAT_Source_IP,NAT_Source_Port,Outbound_Interface,Packets,Protocol,Session_ID,Source_IP,Source_User,Source_Port,Source_Zone,Traffic,Rule_Name
allow,http-proxy,10316,10316,10316,news-and-media,,172.17.1.250,8080,,FWeth1-2_Zone,,1,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,16,tcp,80473,172.24.16.201,,4903,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,http-proxy,13525,13525,13525,news-and-media,,172.17.1.250,8080,,FWeth1-2_Zone,,1,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,18,tcp,111351,172.24.16.203,,4923,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,snmp,518,518,518,any,,172.17.1.13,161,,FWeth1-2_Zone,,0,0x0,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,2,udp,101451,172.24.10.109,,63877,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,ntp,2790,2790,2790,any,,192.168.121.102,32438,,CoreEth1-2_Zone,,0,0x0,ethernet1/2,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/1,31,udp,101994,172.21.1.121,,123,FWeth1-2_Zone,true,FWtoCore_Policy
allow,dns,273,273,273,any,,172.21.1.211,53,,VPlant-ITConn,,0,0x0,ethernet1/17,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/13,2,udp,93594,172.21.31.129,,64973,VPlant-Building,true,Plant Inbound
allow,http-proxy,11562,11562,11562,news-and-media,,172.17.1.250,8080,,FWeth1-2_Zone,,0,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,17,tcp,97340,172.24.16.203,,4963,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,http-proxy,13673,13673,13673,news-and-media,,172.17.1.250,8080,,FWeth1-2_Zone,,0,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,18,tcp,81649,172.24.16.203,,4964,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,http-proxy,3383,3383,3383,internet-portals,,172.21.4.140,8080,,VAdmin-ITConn,,0,0x4,ethernet1/18,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/14,15,tcp,91112,172.21.23.226,,3912,VAdmin-Building,true,Admin_Inbound
allow,http-proxy,12699,12699,12699,news-and-media,,172.17.1.250,8080,,FWeth1-2_Zone,,0,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,19,tcp,90809,172.24.16.201,,4940,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,http-proxy,11295,11295,11295,news-and-media,,172.17.1.250,8080,,FWeth1-2_Zone,,0,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,17,tcp,98038,172.24.16.201,,4941,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,http-proxy,12122,12122,12122,news-and-media,,172.17.1.250,8080,,FWeth1-2_Zone,,0,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,17,tcp,112314,172.24.16.203,,4965,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,http-proxy,3954,3954,3954,news-and-media,,172.17.1.250,8080,,FWeth1-2_Zone,,0,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,12,tcp,5192,172.24.16.203,,4967,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,http-proxy,2875,2875,2875,news-and-media,,172.17.1.250,8080,,FWeth1-2_Zone,,0,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,11,tcp,232761,172.24.16.201,,4943,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,http-proxy,3074,3074,3074,news-and-media,,172.17.1.250,8080,,FWeth1-2_Zone,,0,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,11,tcp,91499,172.24.16.201,,4944,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,http-proxy,3534,3534,3534,news-and-media,,172.17.1.250,8080,,FWeth1-2_Zone,,0,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,11,tcp,74317,172.24.16.201,,4945,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,rtmpt,5770,5770,5770,unknown,,172.17.1.250,8080,,FWeth1-2_Zone,,0,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,14,tcp,119214,172.24.16.201,,4942,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,ssl,98620,98620,98620,business-and-economy,,172.21.4.140,8080,,VAdmin-ITConn,,45,0x0,ethernet1/18,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/14,147,tcp,104331,172.21.22.171,,1271,VAdmin-Building,true,Admin_Inbound
allow,ms-ds-smb,6665,6665,6665,any,,172.21.1.211,445,,VAdmin-ITConn,,11,0x0,ethernet1/18,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/14,31,tcp,91206,172.21.23.235,,3633,VAdmin-Building,true,Admin_Inbound
allow,http-proxy,2808,2808,2808,news-and-media,,172.17.1.250,8080,,FWeth1-2_Zone,,0,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,11,tcp,95545,172.24.16.203,,4969,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,http-proxy,2949,2949,2949,news-and-media,,172.17.1.250,8080,,FWeth1-2_Zone,,0,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,11,tcp,13686,172.24.16.201,,4947,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,http-proxy,2038,2038,2038,search-engines,,172.17.1.250,8080,,FWeth1-2_Zone,,0,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,9,tcp,93319,172.24.16.203,,4968,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,http-proxy,2337,2337,2337,search-engines,,172.21.4.140,8080,,VPlant-ITConn,,0,0x4,ethernet1/17,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/13,13,tcp,44237,172.21.32.148,,2002,VPlant-Building,true,Plant Inbound
allow,rtmpt,5321,5321,5321,unknown,,172.17.1.250,8080,,FWeth1-2_Zone,,0,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,15,tcp,102070,172.24.16.203,,4945,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,rtmpt,5261,5261,5261,unknown,,172.17.1.250,8080,,FWeth1-2_Zone,,0,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,14,tcp,96907,172.24.16.201,,4928,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,http-proxy,1174,1174,1174,computer-and-internet-info,,172.17.1.250,8080,,FWeth1-2_Zone,,0,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,9,tcp,86168,172.24.16.201,,4950,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,http-proxy,1415,1415,1415,computer-and-internet-info,,172.21.4.140,8080,,VPlant-ITConn,,0,0x4,ethernet1/17,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/13,12,tcp,101191,172.21.32.135,,3354,VPlant-Building,true,Plant Inbound
allow,http-proxy,2214,2214,2214,web-advertisements,,172.17.1.250,8080,,FWeth1-2_Zone,,0,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,10,tcp,92087,172.24.16.203,,4966,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,dns,276,276,276,any,,172.21.1.211,53,,VPlant-ITConn,,0,0x0,ethernet1/17,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/13,2,udp,87672,172.21.31.129,,57361,VPlant-Building,true,Plant Inbound
allow,snmp,251,251,251,any,,172.21.21.67,161,,VAdmin-Building,,0,0x0,ethernet1/14,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/18,2,udp,90964,172.21.15.105,,3020,VAdmin-ITConn,true,Admin_Outbound
allow,http-proxy,1463,1463,1463,news-and-media,,172.17.1.250,8080,,FWeth1-2_Zone,,0,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,9,tcp,104672,172.24.16.201,,4948,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,http-proxy,1762,1762,1762,news-and-media,,172.21.4.140,8080,,VPlant-ITConn,,0,0x4,ethernet1/17,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/13,13,tcp,103885,172.21.32.135,,3352,VPlant-Building,true,Plant Inbound
allow,http-proxy,1454,1454,1454,news-and-media,,172.17.1.250,8080,,FWeth1-2_Zone,,0,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,9,tcp,99756,172.24.16.201,,4949,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,http-proxy,1689,1689,1689,news-and-media,,172.21.4.140,8080,,VPlant-ITConn,,0,0x4,ethernet1/17,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/13,12,tcp,99284,172.21.32.135,,3353,VPlant-Building,true,Plant Inbound
allow,rtmpt,5356,5356,5356,unknown,,172.21.4.140,8080,,VAdmin-ITConn,,0,0x4,ethernet1/18,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/14,15,tcp,110225,172.21.23.238,,2709,VAdmin-Building,true,Admin_Inbound
allow,snmp,528,528,528,any,,172.21.22.70,161,,VAdmin-Building,,25,0x0,ethernet1/14,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/18,4,udp,75731,172.21.3.11,,2075,VAdmin-ITConn,true,Admin_Outbound
allow,http-proxy,1421,1421,1421,financial-services,,172.17.1.250,8080,,FWeth1-2_Zone,,0,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,9,tcp,103772,172.24.16.203,,4950,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,http-proxy,14547,14547,14547,financial-services,,172.17.1.250,8080,,FWeth1-2_Zone,,0,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,18,tcp,108097,172.24.16.203,,4948,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,http-proxy,18897,18897,18897,news-and-media,,172.17.1.250,8080,,FWeth1-2_Zone,,0,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,23,tcp,89296,172.24.16.201,,4921,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,http-proxy,18024,18024,18024,financial-services,,172.17.1.250,8080,,FWeth1-2_Zone,,0,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,28,tcp,97195,172.24.16.201,,4924,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,http-proxy,9153,9153,9153,financial-services,,172.17.1.250,8080,,FWeth1-2_Zone,,0,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,16,tcp,76127,172.24.16.201,,4929,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,dns,273,273,273,any,,172.21.1.211,53,,VPlant-ITConn,,0,0x0,ethernet1/17,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/13,2,udp,75476,172.21.31.129,,64970,VPlant-Building,true,Plant Inbound
allow,time,128,128,128,any,,172.24.16.161,37,,VAdmin-ITConn,,0,0x0,ethernet1/18,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/14,2,udp,95904,172.21.21.242,,36065,VAdmin-Building,true,Admin_Inbound
allow,dns,276,276,276,any,,172.21.1.211,53,,VPlant-ITConn,,0,0x0,ethernet1/17,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/13,2,udp,97180,172.21.31.129,,64972,VPlant-Building,true,Plant Inbound
allow,freenet,1328,1328,1328,any,,10.199.7.11,63293,,FWeth1-2_Zone,,0,0x0,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,8,udp,107013,172.24.1.53,,63293,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,snmp,360,360,360,any,,10.133.68.204,161,,FWeth1-2_Zone,,0,0x0,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,4,udp,97996,192.168.76.162,,1067,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,insufficient-data,64,64,64,any,,172.21.22.220,4317,,VAdmin-Building,,0,0x0,ethernet1/14,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/18,1,udp,96102,172.21.4.93,,25808,VAdmin-ITConn,true,Admin_Outbound
allow,dns,558,558,558,any,,172.17.1.252,53,,FWeth1-2_Zone,,0,0x0,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,2,udp,80875,172.21.1.211,horry\jfoxworth,57251,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,http-proxy,1840,1840,1840,financial-services,,172.17.1.250,8080,,FWeth1-2_Zone,,0,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,9,tcp,99604,172.24.16.201,,4930,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,http-proxy,8091,8091,8091,news-and-media,,172.17.1.250,8080,,FWeth1-2_Zone,,0,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,13,tcp,105884,172.24.16.203,,4951,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,http-proxy,5582,5582,5582,news-and-media,,172.17.1.250,8080,,FWeth1-2_Zone,,0,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,11,tcp,102004,172.24.16.201,,4927,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,http-proxy,23914,23914,23914,financial-services,,172.17.1.250,8080,,FWeth1-2_Zone,,0,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,29,tcp,115590,172.24.16.203,,4953,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,http-proxy,9330,9330,9330,financial-services,,172.17.1.250,8080,,FWeth1-2_Zone,,0,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,15,tcp,104270,172.24.16.203,,4956,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,http-proxy,5467,5467,5467,news-and-media,,172.17.1.250,8080,,FWeth1-2_Zone,,0,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,11,tcp,89091,172.24.16.203,,4952,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,http-proxy,1363,1363,1363,financial-services,,172.17.1.250,8080,,FWeth1-2_Zone,,0,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,9,tcp,102414,172.24.16.201,,4931,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,http-proxy,37231,37231,37231,financial-services,,172.17.1.250,8080,,FWeth1-2_Zone,,0,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,36,tcp,96963,172.24.16.203,,4954,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,http-proxy,32258,32258,32258,financial-services,,172.17.1.250,8080,,FWeth1-2_Zone,,0,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,34,tcp,90141,172.24.16.203,,4955,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,http-proxy,1850,1850,1850,financial-services,,172.17.1.250,8080,,FWeth1-2_Zone,,0,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,9,tcp,100666,172.24.16.201,,4935,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,http-proxy,15705,15705,15705,financial-services,,172.17.1.250,8080,,FWeth1-2_Zone,,0,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,22,tcp,105304,172.24.16.201,,4932,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,http-proxy,27969,27969,27969,financial-services,,172.17.1.250,8080,,FWeth1-2_Zone,,0,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,30,tcp,100431,172.24.16.203,,4957,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,http-proxy,8332,8332,8332,news-and-media,,172.17.1.250,8080,,FWeth1-2_Zone,,0,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,13,tcp,103280,172.24.16.201,,4934,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,http-proxy,8457,8457,8457,news-and-media,,172.17.1.250,8080,,FWeth1-2_Zone,,0,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,13,tcp,97565,172.24.16.201,,4933,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,http-proxy,1930,1930,1930,web-advertisements,,172.21.4.140,8080,,VAdmin-ITConn,,0,0x4,ethernet1/18,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/14,12,tcp,108233,172.21.23.226,,3909,VAdmin-Building,true,Admin_Inbound
allow,rtmpt,1053,1053,1053,unknown,,172.17.1.250,8080,,FWeth1-2_Zone,,0,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,12,tcp,117417,172.24.16.203,,4924,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,http-proxy,5521,5521,5521,news-and-media,,172.17.1.250,8080,,FWeth1-2_Zone,,0,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,11,tcp,113101,172.24.16.201,,4936,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,http-proxy,288579,288579,288579,search-engines,,172.17.1.250,8080,,FWeth1-2_Zone,,0,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,257,tcp,94969,172.24.16.203,,4935,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,rtmpt,1081,1081,1081,unknown,,172.21.4.140,8080,,VAdmin-ITConn,,1,0x4,ethernet1/18,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/14,12,tcp,77161,172.21.23.210,,3636,VAdmin-Building,true,Admin_Inbound
allow,google-analytics,1548,1548,1548,computer-and-internet-info,,172.17.1.250,8080,,FWeth1-2_Zone,,0,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,9,tcp,99808,172.24.16.203,,4959,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,http-proxy,294072,294072,294072,search-engines,,172.21.4.140,8080,,VAdmin-ITConn,,0,0x4,ethernet1/18,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/14,326,tcp,87206,172.21.23.226,,3910,VAdmin-Building,true,Admin_Inbound
allow,http-proxy,8604,8604,8604,news-and-media,,172.17.1.250,8080,,FWeth1-2_Zone,,0,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,13,tcp,94646,172.24.16.201,,4938,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,http-proxy,1997,1997,1997,search-engines,,172.17.1.250,8080,,FWeth1-2_Zone,,0,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,9,tcp,56436,172.24.16.203,,4958,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,http-proxy,5413,5413,5413,news-and-media,,172.17.1.250,8080,,FWeth1-2_Zone,,0,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,11,tcp,96781,172.24.16.201,,4939,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,http-proxy,2238,2238,2238,search-engines,,172.21.4.140,8080,,VPlant-ITConn,,0,0x4,ethernet1/17,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/13,12,tcp,90757,172.21.32.148,,2001,VPlant-Building,true,Plant Inbound
allow,http-proxy,2729,2729,2729,news-and-media,,172.17.1.250,8080,,FWeth1-2_Zone,,0,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,9,tcp,103736,172.24.16.203,,4962,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,ms-exchange,27336,27336,27336,any,,172.21.4.90,45276,,VAdmin-ITConn,,644,0x0,ethernet1/18,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/14,75,tcp,236192,172.21.22.220,,1099,VAdmin-Building,true,Admin_Inbound
allow,http-proxy,3076,3076,3076,internet-portals,,172.17.1.250,8080,,FWeth1-2_Zone,,0,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,11,tcp,92898,172.24.16.203,,4961,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,dns,273,273,273,any,,172.21.1.211,53,,VPlant-ITConn,,0,0x0,ethernet1/17,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/13,2,udp,98449,172.21.31.129,,56470,VPlant-Building,true,Plant Inbound
allow,dns,276,276,276,any,,172.21.1.211,53,,VPlant-ITConn,,0,0x0,ethernet1/17,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/13,2,udp,95804,172.21.31.129,,56432,VPlant-Building,true,Plant Inbound
allow,ntp,2950,2950,2950,any,,192.168.121.102,32438,,FWeth1-2_Zone,,0,0x0,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,33,udp,96101,172.21.1.121,,123,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,rtmpt,5321,5321,5321,unknown,,172.17.1.250,8080,,FWeth1-2_Zone,,1,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,15,tcp,97744,172.24.16.201,,4886,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,http-proxy,22948,22948,22948,news-and-media,,172.17.1.250,8080,,FWeth1-2_Zone,,0,0x4,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,27,tcp,81877,172.24.16.201,,4910,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,snmp,191,191,191,any,,66.153.203.110,161,,FWeth1-2_Zone,,0,0x0,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,2,udp,99371,172.24.10.103,,1484,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,snmp,191,191,191,any,,66.153.203.110,161,,FWeth1-2_Zone,,0,0x0,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,2,udp,87809,172.24.10.103,,1489,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,snmp,199,199,199,any,,66.153.203.110,161,,FWeth1-2_Zone,,0,0x0,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,2,udp,111720,172.24.10.103,,1493,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,snmp,191,191,191,any,,66.153.203.110,161,,FWeth1-2_Zone,,0,0x0,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,2,udp,92922,172.24.10.103,,1499,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,snmp,196,196,196,any,,66.153.203.110,161,,FWeth1-2_Zone,,0,0x0,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,2,udp,95467,172.24.10.103,,1506,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,snmp,199,199,199,any,,66.153.203.110,161,,FWeth1-2_Zone,,0,0x0,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,2,udp,110028,172.24.10.103,,1509,CoreEth1-2_Zone,true,CoreToFW_Policy
allow,dns,225,225,225,any,,172.17.1.252,53,,FWeth1-2_Zone,,0,0x0,ethernet1/1,Syslog,0.0.0.0,0,0.0.0.0,0,ethernet1/2,2,udp,108150,172.21.1.211,horry\jfoxworth,59840,CoreEth1-2_Zone,true,CoreToFW_Policy
